chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AirLaw,1,An airline is planning a flight that will require a Technical landing in a neighboring state. Which freedom of the Air will be exercised ?,2nd freedom,1st freedom,3rd freedom,4th freedom,A,"The second freedom of the air refers to the right of an aircraft to land in a foreign country for non-traffic purposes, such as refuelling or technical maintenance, without boarding or discharging passengers. In this scenario, the planning of a technical landing in a neighboring state is a direct exercise of this second freedom. It is distinct from commercial freedoms which involve the transport of passengers or cargo."
AirLaw,2,"The International Civil Aviation Organisation (ICAO) establishes,",standards and recommended international practices for contracting member states.,aeronautical standards adopted by all states.,proposals for aeronautical regulations in the form of 18 annexes.,"standards and recommended practices applied without exception by all states, signatory to the Chicago convention.",A,"The primary role of ICAO is to establish standards and recommended practices (SARPs) that guide contracting member states in developing uniform national regulations. These guidelines ensure international civil aviation operations are safe, efficient, and consistent worldwide. While member states are expected to align with these standards, they must notify ICAO of any differences between national regulations and international standards."
AirLaw,3,The objectives of ICAO was ratified by the :,Chicago convention 1944,Warzaw convention 1929,Geneva convention 1948,Geneva convention 1936,A,"The Chicago Convention of 1944 is the foundational treaty of international civil aviation that established ICAO. It set forth the primary objectives of safe, orderly, and economically sound international air transport. The convention was signed by 54 nations and ratified the framework that governs modern international air travel."
AirLaw,4,The International Civil Aviation Organisation (I.C.A.O.) was established by the international convention of :,Chicago,The Hague,Warsaw,Montreal,A,"ICAO was officially established by the Convention on International Civil Aviation, commonly known as the Chicago Convention, signed on December 7, 1944. This landmark convention replaced earlier agreements and created a centralized agency under the United Nations to oversee civil aviation safety and standards. The permanent headquarters was eventually set up in Montreal, Canada."
AirLaw,5,One of the main objectives of ICAO is to :,develop principles and techniqe for international aviation,approve the ticket prices set by international airline companies,approve new internationel airlines with jet aircraft,approve new international airlines,A,"A core objective of ICAO is to develop the principles and techniques of international air navigation and to foster the planning and development of international air transport. This helps ensure safe, orderly growth and prevents economic waste through standardization. It does not directly regulate commercial matters like pricing or individual airline approvals, which are handled at national levels."
AirLaw,6,Which body of ICAO finalises the Standard and Recommended Practices (SARPS) for submission for adoption ?,the Air Navigation Commission,the Assembly,the Council,the Regional Air Navigation meeting,A,The Air Navigation Commission (ANC) is the technical body within ICAO responsible for finalising the Standards and Recommended Practices (SARPs) before they are submitted to the Council for formal adoption. The ANC is composed of technical experts nominated by member states. Their main function is to ensure that all technical annexes are kept up-to-date with industry developments.
AirLaw,7,The 'Standards' contained in the Annexes to the Chicago convention are to be considered:,binding for the member states that have not notified ICAO about a national difference,advice and guidance for the aviation legislation within the member states,binding for all member states,binding for all air line companies with international traffic,A,"Standards contained in the Annexes to the Chicago Convention are binding on all contracting states, unless they notify ICAO of a national difference under Article 38. If a state finds it impracticable to comply with a standard, it must file a difference immediately. Without such notification, the state is legally bound to implement the standard."
AirLaw,8,Which of the following is obligating for members of ICAO ?,ICAO must be informed about differences from the standards in any of the Annexes to the convention,ICAO shall approve the pricing of tickets on international airline connections,ICAO must be informed about changes in the national regulations,ICAO must be informed about new flight crew licenses and any suspended validity of such licenses,A,"Under Article 38 of the Chicago Convention, contracting states are obligated to notify ICAO if their national regulations or practices differ from international standards. This notification of differences is crucial for international flight safety, as it allows other states to be aware of non-compliance. It is the primary legal mechanism for managing exceptions to ICAO's global standards."
AirLaw,9,The Warsaw convention and later amendments deals with:,limitation of the operator¹s responsibility vis-á-vis passenger and goods transported,the regulation of transportation of dangerous goods,operator¹s licence for international scheduled aviation,the security system at airports,A,"The Warsaw Convention of 1929 primarily governs the liability of international air carriers for passenger injury, death, and damage or loss of baggage and cargo. It established uniform rules for passenger tickets, luggage tickets, and airway bills to streamline international claims. Later amendments, such as the Montreal Convention, updated these liability limits and modernized the legal framework."
AirLaw,10,Any contracting state may denounce the Convention of Montreal by written notification to the depositary governments. The denounciation shall take effect :,6 months following the date on which notification is received by the Depositary Governments,3 months following the date on which notification is received by the Depositary Governments,2 months following the date ICAO is informed,4 months following the date on which notification is received by the Depositary Governements,A,"According to the terms of the Montreal Convention, any contracting state may denounce the convention by written notification to the depositary governments. The denunciation will take effect six months after the date on which the notification is received. This notice period ensures all parties have adequate time to adjust their legal arrangements accordingly."
