chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
VFR,5690,"What does the term """"blind transmission"""" mean?",A transmission from one station to another station in circumstances where two- way communication cannot be established but it is believed that the called station is able to receive the transmission.,A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A transmission of messages relating to en-route weather information which may affect the safety of aircraft operations that is not addressed to a specific station or stations.,A transmission where no reply is required from the receiving station.,A,"A blind transmission is a transmission from one station to another when two-way communication cannot be established, but it is believed that the called station is able to receive the signal."
VFR,5691,"Which abbreviation is used for the term """"control zone""""?",CTR.,CZ.,CTZ.,CTA.,A,The standard ICAO abbreviation used to denote a control zone is CTR.
VFR,5692,"What does the abbreviation """"AFIS"""" mean?",Aerodrome flight information service.,Automatic flight information service.,Aeronautical flight information system.,Aerodrome flashing identification signal.,A,"AFIS stands for Aerodrome Flight Information Service, which provides advisory and information services to aircraft operating at an aerodrome where no control tower is active."
VFR,5693,"What does the abbreviation """"FIR"""" mean?",Flight information region.,Flight information required.,Flow information received.,Flight information radar.,A,"FIR stands for Flight Information Region, which is an airspace of defined dimensions within which flight information service and alerting service are provided."
VFR,5694,"What does the abbreviation """"HJ"""" mean?",Sunrise to sunset.,Sunset to sunrise.,No specific working hours.,Continuous day and night service.,A,The abbreviation HJ indicates operational hours from sunrise to sunset (daylight service).
VFR,5695,"What does the abbreviation """"HX"""" mean?",No specific working hours.,Sunrise to sunset.,Sunset to sunrise.,Continuous day and night service.,A,"The abbreviation HX indicates that the station has no specific working hours, meaning it operates on call or during variable times."
VFR,5696,"Which abbreviation is used for """"Co-ordinated universal time""""?",UTC.,CUT.,GMT.,COUT.,A,"UTC stands for Co-ordinated Universal Time, which is the primary standard time used globally in aviation."
VFR,5697,What does QTE mean?,True bearing from the station.,Magnetic bearing from the station.,True heading to the station (no wind).,Magnetic heading to the station.,A,QTE is the Q-code representing the true bearing of the aircraft from the aeronautical ground station.
VFR,5698,"What is the Q-code for """"true bearing from the station""""?",QTE,QDR,QDM,QFE,A,QTE is the Q-code used to designate the true bearing of an aircraft from a ground station.
VFR,5699,What does QDR mean?,Magnetic bearing from the station,Magnetic heading to the station (no wind),True bearing from the station,True heading to the station,A,QDR is the Q-code representing the magnetic bearing of the aircraft from the ground station.
VFR,5700,"What is the Q-code for """"magnetic bearing from the station""""?",QDR,QTE,QDM,QFE,A,QDR is the Q-code used to designate the magnetic bearing of an aircraft from a ground station.
VFR,5701,"If you are requested to report your height, to which Q-code-setting would you refer ?",QFE,QNH,QDM,QBI,A,"QFE is the Q-code representing the atmospheric pressure at the aerodrome elevation, which is used to indicate height above the airfield when set on the altimeter subscale."
VFR,5702,Which Q-code is used to report altitude ?,QNH,QFE,QFF,QNJ,A,"QNH is the Q-code representing the atmospheric pressure reduced to mean sea level under standard conditions, which is used to indicate altitude above sea level."
VFR,5703,What does QDM mean?,Magnetic heading to the station (no wind),Magnetic bearing from the station,True heading to the station (no wind),True bearing from the station,A,QDM is the Q-code representing the magnetic heading of the aircraft to steer (under zero wind conditions) to reach the ground station.
VFR,5704,"What is the Q-code for """"magnetic heading to the station (no wind)?",QDM.,QDR.,QNE.,QTE.,A,QDM is the Q-code used to designate the magnetic heading to the station with no wind.
