chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
General Navigation,4090,The angle between the plane of the ecliptic and the plane of equator is approximately :,23.5°,25.3°,27.5°,66.5°,A,"The obliquity of the ecliptic, which represents the angle of tilt between the Earth's rotational equator and its orbital plane (the plane of the ecliptic), is approximately 23.5°."
General Navigation,4091,Which is the highest latitude listed below at which the sun will rise above the horizon and set every day?,66°,68°,72°,62°,A,"At the Arctic and Antarctic circles (~66.5°), the sun remains above or below the horizon for exactly 24 hours on the solstices. Thus, 66° is the highest latitude listed at which the sun will rise and set every single day of the year."
General Navigation,4092,In which two months of the year is the difference between the transit of the Apparent Sun and Mean Sun across the Greenwich Meridian the greatest?,February and November,March and September,June and December,April and August,A,"The Equation of Time describes the difference between Apparent Solar Time and Mean Solar Time. Due to the Earth's orbital eccentricity and axial tilt, this difference reaches its greatest values in February and November."
General Navigation,4093,What is the highest latitude listed below at which the sun will reach an altitude of 90° above the horizon at some time during the year?,23°,45°,66°,0°,A,"The sun can only reach the zenith (90° altitude directly overhead) at some point in the year within the tropical zone, which is bounded by the Tropics of Cancer and Capricorn at approximately 23.5° latitude."
General Navigation,4094,"Assuming mid-latitudes (40° to 50°N/S).At which time of year is the relationship between the length of day and night, as well as the rate of change of declination of the sun, changing at the greatest rate?",Spring equinox and autumn equinox,Summer solstice and spring equinox,summer solstice and winter solstice,Winter solstice and autumn equinox,A,"At the spring and autumn equinoxes, the sun crosses the Earth's equatorial plane, causing the solar declination and the relative length of day and night to change at their maximum rate."
General Navigation,4095,At what approximate date is the earth closest to the sun (perihelion)?,Beginning of January,End of March,Beginning of July,End of June,A,"The Earth is closest to the sun in its elliptical orbit at perihelion, which occurs annually in the beginning of January when the Earth is approximately 147 million kilometers away."
General Navigation,4096,At what approximate date is the earth furthest from the sun (aphelion)?,Beginning of July,End of December,Beginning of January,End of September,A,"The Earth is furthest from the sun at aphelion, which occurs annually in the beginning of July when the Earth is approximately 152 million kilometers away from the sun."
General Navigation,4097,Seasons are due to the:,inclination of the polar axis with the ecliptic plane,Earth's elliptical orbit around the Sun,Earth's rotation on its polar axis,variable distance between Earth and Sun,A,Seasons are caused by the tilt of the Earth's rotational axis (polar axis) relative to the perpendicular of its orbital plane (the ecliptic plane) as it orbits the sun.
General Navigation,4098,An aircraft departs from position A (04°10' S 178°22'W) and flies northward following the meridian for 2950 NM. It then flies westward along the parallel of latitude for 382 NM to position B. The coordinates of position B are?,45°00'N 172°38'E,53°20'N 169°22W,45°00'N 169°22W,53°20'N 172°38'E,A,"Flying north for 2950 NM along the meridian corresponds to a change of 49°10' in latitude, moving from 04°10'S to 45°00'N. Flying west along the parallel of 45°N for 382 NM represents a change in longitude of 382 / cos(45°) = 540.2 minutes (9°00'W), which yields a final position of 45°00'N 172°38'E."
General Navigation,4099,"The angle between the true great-circle track and the true rhumb-line track joining the following points: A (60° S 165° W) B (60° S 177° E), at the place of departure A, is:",7.8°,9°,15.6°,5.2°,A,"The angle between the great circle and rhumb line tracks at the point of departure is the conversion angle: 0.5 * dlong * sin(mean lat). For points A and B, dlong is 18° and mean latitude is 60°S, yielding 0.5 * 18 * sin(60°) = 7.8°."
