chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Operational Procedures,4903,"Selecting an alternate aerodrome the runway of this facility must be sufficiently long to allow a full stop landing from 50 ft above the threshold (jet type aircraft, dry runway) within:",60% of the landing distance available.,70% of the landing distance available.,80% of the landing distance available.,50% of the landing distance available.,A,"Under commercial aviation regulations, a turbojet aircraft dispatching to a destination or alternate aerodrome with a dry runway must be able to come to a full stop within 60% of the Landing Distance Available (LDA). This regulatory requirement applies a safety factor of 1.67 to account for operational variables such as touchdown point variation and pilot technique. Consequently, the planned landing distance required must not exceed 60% of the available runway length for dispatch."
Operational Procedures,4904,Flight crew members on the flight deck shall keep their safety belt fastened:,while at their station.,only during take off and landing.,only during take off and landing and whenever necessary by the commander in the interest of safety.,from take off to landing.,A,"According to aviation regulations, flight crew members on duty must keep their safety belt fastened at all times while at their station. While shoulder harnesses can be released during the cruise phase of flight for comfort, the lap belt must remain secured to protect against unexpected turbulence. Therefore, whenever a pilot is occupying their seat on the flight deck, the safety belt must be fastened."
Operational Procedures,4905,Who shall provide the flight operations personal with a operations manual and also issue the amendments to keep it up to date?,Aircraft operator.,Aircraft producer.,Owner of the aircraft.,ATS authority of the state of registry.,A,"Under international aviation regulations, the aircraft operator holds the ultimate responsibility for the safe conduct of flights and regulatory compliance. Therefore, the operator is legally required to provide its operational personnel with an Operations Manual that reflects its specific company procedures and policies. While manufacturers supply the base aircraft flight manual, the operator must manage, update, and distribute all amendments to keep the operational documentation current."
Operational Procedures,4906,The recent experience conditions of a captain assigned to a flight on an aircraft by an operator must not be less than :,3 take-offs and 3 landings as pilot in command on this type of aircraft during the last 90 days,6 take-offs and 6 landings as pilot in command on this type of aircraft during the last 90 days,6 take-offs and 6 landings as pilot in command on this type of aircraft during the last 6 months,3 take-offs and 3 landings as pilot in command on this type of aircraft during the last 6 months,A,"According to aviation safety regulations, such as EASA Air OPS, a pilot must maintain recent operational experience to ensure proficiency before acting as pilot-in-command on a flight. To satisfy this currency requirement, the captain must have performed at least three take-offs and three landings as the pilot flying in the same aircraft type or an approved simulator within the preceding 90 days. Failing to meet this 90-day window means the pilot is no longer considered current and must undergo retraining or a supervised flight to regain currency."
Operational Procedures,4907,The standby power supply powering the standby artificial horizon must be operable on board any aircraft of more than 5700 kg or more than 9 passengers during at least :,30 minutes.,60 minutes.,15 minutes.,2 hours.,A,"According to aviation regulations, aeroplanes with a maximum take-off mass over 5,700 kg or a passenger capacity of more than 9 must have a standby attitude indicator powered by an independent emergency source. This standby power supply must be capable of operating the instrument continuously for at least 30 minutes following a total failure of the normal electrical generating system. This critical timeframe ensures the flight crew retains essential attitude reference long enough to safely control and land the aircraft."
Operational Procedures,4908,A life jacket is mandatory for any passenger on board an aircraft flying away from the shore by more than :,50 NM,100 NM,200 NM,400 NM,A,"According to aviation regulations, landplanes operated over water must carry a life jacket for each person on board when flying at a distance of more than 50 NM from land suitable for making an emergency landing. This mandatory requirement ensures that immediate flotation equipment is available to all passengers in the event of an emergency ditching far from the coast. Therefore, 50 NM represents the strict regulatory threshold beyond which life jackets are legally required."
Operational Procedures,4909,"On overwater flights, an operator shall not operate an aeroplane at a distance away from land, which is suitable for making a emergency landing greater than that corresponding to :",400 NM or 120 minutes at cruising speed.,300 NM or 90 minutes at cruising speed.,200 NM or 45 minutes at cruising speed.,100 NM or 30 minutes at cruising speed.,A,"According to aviation regulations, the maximum distance a multi-engine aeroplane can operate from land suitable for an emergency landing without triggering stricter extended-range (ETOPS) requirements or mandatory carriage of additional survival equipment is 400 NM or 120 minutes at cruising speed. This threshold is established to ensure that aircraft remain within a safe flying distance to a diversion airfield during standard overwater flights. Therefore, Option A represents the correct regulatory limit for these operations."
Operational Procedures,4910,The minimum time track is a track defined for :,a given travel,a period of 12 hours,a period of 24 hours,aircraft flying in MNPS airspace,A,"A minimum time track (MTT) is a flight path mathematically calculated to achieve the shortest possible flight duration between a specific departure and destination, which constitutes a given travel. While meteorological data and track structures are updated at regular intervals, the MTT itself is inherently defined for a specific journey based on the prevailing wind conditions."
Operational Procedures,4911,The term decision height (DH) is used for :,a precision approach.,a conventional approach.,an indirect approach.,a conventional approach followed by a visual maneuver.,A,"Decision Height (DH) is a specified height on a precision approach at which a pilot must initiate a missed approach if the required visual reference to continue has not been established. In contrast, non-precision or conventional approaches use a Minimum Descent Height (MDH), which allows for level flight at that minimum altitude."
Operational Procedures,4912,"Who checks, before flight, that the aircraft's weight is such that flight can be safely made, and that any transported cargo is properly distributed and secured? (Annex 6, Part I)",The captain.,The operator.,"The mechanic on board, or in his absence the co-pilot.",The company's cargo technicians.,A,"According to ICAO Annex 6, Part I, the pilot-in-command (the captain) holds the ultimate responsibility for the safety of the flight, its crew, passengers, and cargo. Consequently, the captain must verify prior to departure that the aircraft's weight and balance are within certified limits and that all cargo is properly distributed and secured. While ground staff may assist with loading, the final legal accountability for flight safety always rests with the commander."
