chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer
Flight Planning,2086,"An aircraft is flying at MACH 0.84 at FL 330. The static air temperature is -48°C and the headwind component 52 Kt. At 1338 UTC the controller requests the pilot to cross the meridian of 030W at 1500 UTC. Given the distance to go is 570 NM, the reduced MACH No. should be:",0.80,0.78,0.76,0.72,A
Flight Planning,2087,"According to the chart the minimum obstruction clearance altitude (MOCA) is 8500 ft. The meteorological data gives an outside air temperature of -20°C at FL 85. The QNH, given by a met. station at an elevation of 4000ft, is 1003 hPa.What is the minimum pressure altitude which should be flown according to the given MOCA?",8800 ft.,8500 ft.,12800 ft.,8200 ft.,A
Flight Planning,2088,VFR flights shall not be flown over the congested areas of cities at a height less than,1000 ft above the heighest obstacle within a radius of 600 m from the aircraft.,2000 ft above the heighest obstacle within a radius of 600 ft from the aircraft.,500 ft above the heighest obstacle.,the heighest obstacle.,A
Flight Planning,2089,"How many feet you have to climb to reach FL 75?Given: FL 75, departure aerodrome elevation 1500 ft, QNH = 1023 hPa, temperature = ISA, 1 hPa = 30 ft",6300 ft.,6000 ft.,6600 ft.,7800 ft.,A
Flight Planning,2090,"(For this question use annex 033-9719A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)An aeroplane is flying VFR and approaching position TANGO VORTAC (48°37'N, 009°16'E) at FL 055 and magnetic course 090°, distance from VORTAC TANGO 20 NM.Name the frequency of the TANGO VORTAC.",112.50 MHz,118.60 MHz,422 kHz,118.80 MHz,A
Flight Planning,2091,"(For this question use annex 033-9736A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)Flying VFR from VILLINGEN (48°03.5'N, 008°27.0'E) to FREUDENSTADT (48°28.0'N, 008°24.0'E).Determine the minimum altitude within a corridor 5NM left and 5 NM right of the courseline in order to stay 1000 ft clear of obstacles.",3900 ft,2900 ft,4200 ft,1500 ft,A
Flight Planning,2092,"(For this question use annex 033-9739A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)Flying VFR from PEITING (47°48.0'N, 010°55.5'E) to IMMENSTADT (47°",,,,,A
Flight Planning,2093,"(For this question use annex 033-11717A)The planned flight is over a distance of 440 NMBased on the wind charts at altitude the following components are found,FL50: -30kt, FL100: -50kt, FL180: -70ktThe Operations Manual in appendix details the aircraft's performancesWhich of the following flight levels (FL) gives the best range performance:",FL 180,FL 100,FL 050,Either FL 050 or FL 100,A
Flight Planning,2094,"(For this question use annex 033-9734A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)Flying VFR from VILLINGEN (48°03.5'N, 008°27.0'E) to FREUDENSTADT (48°28.0'N, 008°24.0'E) determine the magnetic course.",356°,176°,004°,185°,A
Flight Planning,2095,"(For this question use annex 033-9735A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)Flying VFR from VILLINGEN (48°03.5'N, 008°27.0'E) to FREUDENSTADT (48°28.0'N, 008°24.0'E) determine the distance.",24 NM,46 NM,28 NM,24 km,A
Flight Planning,2096,"(For this question use annex 033-9737A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)Flying VFR from PEITING (47°48.0'N, 010°55.5'E) to IMMENSTADT (47°",,,,,A
Flight Planning,2097,"(For this question use annex 033-9738A, AERONAUTICAL CHART ICAO 1:500 000 STUTTGART (NO 47/6) or Route Manual VFR+GPS chart ED-6)Flying VFR from PEITING (47°48.0'N, 010°55.5'E) to IMMENSTADT (47°",,,,,A
Flight Planning,2098,(For this question use annex 033-12368A or Route Manual chart NAP)The average magnetic course from C (62°N020°W) to B (58°N004°E) is,119°,109°,099°,118°,A
Flight Planning,2099,(For this question use annex 033-12369A or Route Manual chart NAP)The average true course from C (62°N020°W) to B (58°N004°E) is,109°,119°,099°,120°,A
Flight Planning,2100,(For this question use annex 033-12370A or Route Manual chart NAP)The initial magnetic course from C (62°N020°W) to B (58°N004°E) is,116°,080°,098°,113°,A
Flight Planning,2101,(For this question use annex 033-12371A or Route Manual chart NAP)The initial true course from C (62°N020°W) to B (58°N004°E) is,098°,116°,080°,278°,A
Flight Planning,2102,(For this question use annex 033-12372A or Route Manual chart NAP)The distance (NM) from A (64°N006°E) to C (62°N020°W) is,720,690,1590,1440,A
Flight Planning,2103,(For this question use annex 033-12373A or Route Manual chart NAP)The average magnetic course from A (64°N006°E) to C (62°N020°W) is,271°,259°,247°,279°,A
Flight Planning,2104,(For this question use annex 033-12374A or Route Manual chart NAP)The average true course from A (64°N006°E) to C (62°N020°W) is,259°,247°,271°,079°,A
Flight Planning,2105,(For this question use annex 033-12375A or Route Manual chart NAP)The initial magnetic course from A (64°N006°E) to C (62°N020°W) is,275°,267°,271°,262°,A
Flight Planning,2106,(For this question use annex 033-12376A or Route Manual chart NAP)The initial true course from A (64°N006°E) to C (62°N020°W) is,271°,275°,267°,246°,A
Flight Planning,2107,(For this question use annex 033-12377A or Route Manual chart NAP)The distance (NM) from C (62°N020°W) to B (58°N004°E) is,760,725,700,775,A
