chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Radio Navigation,4604,What is the approximate maximum theoretical range at which an aircraft at FL130 could receive information from a VDF facility which is sited 1024 FT above MSL?,180 NM,220 NM,120 NM,150 NM,A,"The maximum theoretical VHF range is calculated using the line-of-sight formula: Range (NM) = 1.23 * (sqrt(H_aircraft) + sqrt(H_station)). For an aircraft at 13,000 ft (FL130) and a station at 1,024 ft, this yields 1.23 * (114 + 32) = 180 NM."
Radio Navigation,4605,The maximum theoretical range at which an aircraft at FL80 can obtain bearings from a ground VDF facility sited 325 FT above MSL is:,134 NM,158 NM,107 NM,114 NM,A,"The maximum theoretical range is determined by the line-of-sight formula: Range = 1.23 * (sqrt(H_aircraft) + sqrt(H_station)). Substituting 8,000 ft (FL80) and 325 ft gives 1.23 * (89.4 + 18.0) ≈ 132 NM, which is closest to the option of 134 NM."
Radio Navigation,4606,"What is the minimum level that an aircraft, at a range of 113 NM, must fly in order to contact the tower on R/T for a VDF bearing from an airport sited 169 FT above MSL?",FL60,FL50,FL80,FL100,A,"Using the line-of-sight formula Range = 1.23 * (sqrt(H_aircraft) + sqrt(H_station)), we solve for the aircraft height with a range of 113 NM and a station height of 169 ft. This gives sqrt(H_aircraft) = (113 / 1.23) - 13 ≈ 79, which corresponds to an altitude of approximately 6,200 ft, making FL60 the minimum standard level."
Radio Navigation,4607,"What airborne equipment, if any, is required to be fitted in order that a VDF let- down may be flown?",VHF radio,VOR,none,VOR/DME,A,"VDF (VHF Direction Finding) is a ground-based system where the ground operator determines the aircraft's bearing from its VHF voice transmissions. Therefore, the only airborne equipment required to use VDF is a standard VHF communications radio."
Radio Navigation,4608,Which of the following is an advantage of Ground/DF (VDF) let-down?,It only requires a VHF radio to be fitted to the aircraft,It is pilot interpreted and does not require the assistance of ATC,It does not require any special equipment to be fitted to the aircraft,"It does not require any special equipment, apart from a VHF radio, to be installed in the aircraft or on the ground",A,"Since VDF bearings are computed by the ground station using the aircraft's standard VHF communications transmissions, VDF let-downs require no specialized navigation equipment in the aircraft, making it highly accessible."
Radio Navigation,4609,In which one of the following circumstances is ground direction finding (VDF) likely to be used to fix an aircraft's position?,When using the emergency VHF frequency 121.5 MHz,On first contact with ATC on crossing an international FIR boundary,When contacting ATC to join controlled airapace from the open FIR,When declaring an emergency on any frequency,A,"VDF is primarily used as an emergency navigation aid, particularly on the international emergency frequency of 121.5 MHz, to locate lost aircraft that can only transmit on VHF radio."
Radio Navigation,4610,"An aircraft is """"homing"""" to a radio beacon whilst maintaining a relative bearing of zero. If the magnetic heading decreases, the aircraft is experiencing :",right drift,left drift,zero drift,a wind from the west,A,"If the magnetic heading decreases while homing (nose pointing to the station), the aircraft is turning left to counteract a wind pushing it to the left, which means it is experiencing drift from the right (right drift)."
Radio Navigation,4611,Given : Compass heading 270°Deviation 2°WVariation 30°E Relative bearing 316° What is the QDR?,044°,226°,046°,224°,A,"First, calculate the magnetic heading: MH = Compass Heading (270°) - Deviation (2°W) = 268°. Next, find the QDM (magnetic bearing to station) by adding the relative bearing: QDM = 268° + 316° = 584° (or 224°). Finally, the QDR (magnetic bearing from the station) is the reciprocal of QDM: 224° - 180° = 044°."
Radio Navigation,4612,An RMI indicates aircraft heading. To convert the RMI bearings of NDBs and VORs to true bearings the correct combination for the application of magnetic variation is:,NDB: aircraft positionVOR: beacon position,NDB: beacon positionVOR: beacon position,NDB: beacon positionVOR: aircraft position,NDB: aircraft positionVOR: aircraft position,A,"NDB signals are subject to coastal refraction and track curvature, so the magnetic variation at the aircraft's position must be applied. VOR radials are oriented to magnetic north at the beacon itself, so the magnetic variation at the beacon's position must be used."
Radio Navigation,4613,A radio beacon has an operational range of 10 NM. By what factor should the transmitter power be increased in order to achieve an operational range of 20 NM?,Four,Six,Eight,Two,A,"In radio wave propagation, signal strength decreases according to the inverse square law. Therefore, to double the range from 10 NM to 20 NM, the transmitter power must be increased by a factor of 2^2, which is four."
