chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AGK,514,For FAIL-SAFE designed structural parts :1 The mounting principle is parallel mounting.2 No routine check is necessary.3 The member is removed at the end of the calculated life cycle.4 Certain components may not be accessible.5 The principle is the redundancy of components6 The failure of a member causes the loads to be shared between the other system components.The combination regrouping all the correct statements is :,"1,5,6","2,3,4","1,3,4","2,5,6",A,"Fail-safe design relies on the principle of redundancy and multiple load paths. If a structural member fails, the remaining components are designed to share and carry the loads, ensuring structural integrity is maintained until the next inspection."
AGK,515,DURALUMIN alloys :1 have an aluminium-copper base.2 have an aluminium- magnesium base.3 are easy to weld.4 are difficult to weld.5 have a good thermal conductivity.6 have a poor air corrosion resistanceThe combination regrouping all the correct statements is :,"1,4,5","2,4,5","1,3,6","2,3,6",A,"Duralumin is an aluminium-copper alloy known for its high strength-to-weight ratio and good thermal conductivity. However, due to its copper content, it is generally difficult to weld and exhibits poor resistance to corrosion, often requiring a clad coating (Alclad) for protection."
AGK,516,"Among the different types of aircraft structures, the shell structures efficiently transmit the:1. normal bending stresses2. tangent bending stresses3. torsional moment4. shear stressesThe combination regrouping all the correct statements is :","1, 2, 3","2, 3, 4","1, 2, 4","1, 3, 4",A,"In aircraft construction, shell (monocoque or semi-monocoque) structures are highly efficient at carrying various loads. The skin itself takes up shear stresses and torsional moments, while also assisting in carrying normal bending stresses."
AGK,517,'Fail safe construction' is :,A type of construction in which the load is carried by other components if a part of the structure fails.,A simple and cheap type of construction.,A type of construction for small aircraft only.,A construction which is suitable for aerobatic flight.,A,"Fail-safe construction is a design philosophy where structural redundancy is built-in. If one primary load-bearing component fails, the aerodynamic and structural loads are safely redistributed to secondary or parallel components without catastrophic failure."
AGK,518,"The fuselage of an aircraft consists, among others, of stringers whose purpose is to:",assist the skin in absorbing the longitudinal traction-compression stresses.,withstand the shear stresses.,provide sound and thermal isolation.,integrate the strains due to pressurization to which the skin is subjected and convert them into a tensile stress.,A,"Stringers are longitudinal structural members attached to the fuselage skin. Their primary purpose is to stiffen the skin and assist it in absorbing longitudinal compressive and tensile stresses, preventing the skin from buckling under aerodynamic loads."
AGK,519,The reason for the fact that an aeroplane designed for long distances cannot simply be used for short haul flights at higher frequencies is that,the lifetime of the fatigue sensitive parts has been based on a determined load spectrum,the procedures and checklists for this kind of aeroplanes will take too much time,these aeroplanes often consume too much fuel on short haul flights.,"in that case some fuel tanks remain empty during the whole flight, which stresses the aeroplane's structure in an unacceptable way",A,"The structural fatigue life of an aircraft is calculated based on a specific load spectrum, including pressurization cycles and ground-air-ground transitions. Using a long-haul aircraft for frequent short-haul flights significantly increases the number of stress cycles per flight hour, accelerating fatigue wear beyond its designed load spectrum."
AGK,520,"The wing of an aircraft in flight, powered by engines located under the wing, is subjected to a bending moment which causes its leading edge, from the wing root to the wing tip, to operate in:","compression, then in tension.","tension, then in compression.",tension.,compression.,A,"In flight, aerodynamic lift bends the wing upwards, placing the lower surface in tension and the upper surface in compression. Conversely, when on the ground, the weight of the engines and fuel pulls the wing downwards, placing the upper surface in tension and the lower surface in compression."
AGK,521,In flight the wing of an aircraft containing fuel is subjected to vertical loads that produce a bending moment which is:,highest at the wing root,equal to the zero -fuel weight multiplied by the span,equal to half the weight of the aircraft multiplied by the semi span,lowest at the wing root,A,"The wing acts as a cantilever beam supported at the fuselage root. The aerodynamic lift forces distributed along the span create a bending moment that cumulatively increases towards the fuselage, making the bending stresses highest at the wing root."
AGK,522,The Maximum Zero Fuel Mass:1 Is a limitation set by regulation.2 Is designed for a maximum load factor.3 Is due to the maximum bending moment at wing root.4 Requires to empty external tanks first.5 Requires to empty internal tanks first.The correct combination of true statements is :,"1,2,3","2,5","2,4","1,3,5",A,Maximum Zero Fuel Mass (MZFM) is a structural limitation designed to restrict the maximum bending moment at the wing root. Exceeding this mass before adding wing fuel would cause the aerodynamic lift to overstress the wing root attachment during high load factor manoeuvres.
AGK,523,"On a non-stressed skin type wing, the wing structure elements which take up the vertical bending moments Mx are:",the spars.,the ribs.,the webs.,the skin.,A,"In a non-stressed skin (or fabric-covered) wing, the skin does not contribute to the structural strength of the wing. Therefore, the main structural members, specifically the wing spars, must take up all the vertical bending moments and shear loads."
AGK,524,The advantage of mounting the tailplane on top of the vertical stabilizer is :,to withdraw it from the influence of wing turbulence,to a have greater effectiveness at high speed,that it does not require a de-icing system,to decrease fuel consumption by creating a tail heavy situation,A,"A T-tail configuration mounts the horizontal stabilizer on top of the vertical fin, effectively removing it from the aerodynamic wake and turbulence generated by the wings and engines. This provides cleaner airflow over the tailplane, improving pitch control effectiveness, especially at high angles of attack."
AGK,525,A torsion link assembly is installed on the landing gear to :,avoid rotation of the piston rod relative to the gear oleo strut.,absorb the spring tension.,control the wheels.,lock the landing gear.,A,"The torsion link (or torque link) assembly on a landing gear strut connects the fixed outer cylinder to the sliding inner piston. Its primary function is to prevent the piston rod and wheel assembly from rotating freely within the strut, keeping the wheels aligned with the aircraft's longitudinal axis."
AGK,526,In a commercial transport aircraft the landing gear operating system is usually:,Hydraulically driven.,Mechanically driven.,Pneumatically driven.,Electrically driven.,A,"On commercial transport aircraft, the significant forces required to retract and extend the heavy landing gear assemblies dictate the use of hydraulic power. Hydraulic systems provide the necessary high power-to-weight ratio and precise control for reliable gear operation."
AGK,527,"Generally, on modern jet transport aircraft, how can the landing gear be extended if there is a complete hydraulic system failure.",Mechanically,Electrically.,Pneumatically.,By hydraulic accumulators.,A,"In the event of a complete hydraulic failure, modern jet transports feature an alternate gear extension system. This typically involves a mechanical linkage or free-fall mechanism that releases the uplocks, allowing the heavy landing gear to extend and lock into place under the force of gravity and aerodynamic drag."
AGK,528,"If the profile grooves or the tread of a new aircraft tyre are worn, the tyre can be:",Repaired several times.,repaired once.,Never repaired.,Used on the nose wheel only.,A,"Aircraft tyres are designed with thick, durable casings that can withstand multiple retreading processes. Once the tread or profile grooves are worn down to limits, the tyre can be sent to an approved facility to be repaired and retreaded several times, significantly extending its operational life."
AGK,529,The operating principle of an anti skid system is as follows : the brake pressure will be :,Decreased on the slower turning wheels.,Increased on the faster turning wheels.,Decreased on the faster turning wheels.,Increased on the slower turning wheels.,A,"An anti-skid system monitors the rotational speed of each wheel during braking. If a wheel begins to turn slower than the others or approaches a locked condition (indicating an impending skid), the system automatically decreases hydraulic brake pressure to that specific wheel to restore traction."
AGK,530,The type of brake unit found on most transport aeroplanes is a:,Multiple disk brake.,Drum type brake.,Single disk brake.,Belt brake.,A,"Most transport category aeroplanes utilize multiple disk brakes to absorb the immense kinetic energy during landing or an aborted take-off. The alternating stator and rotor disks provide a large friction surface area, allowing for efficient heat dissipation and powerful braking action."
AGK,531,The reason for fitting thermal plugs to aircraft wheels is that they :,release air from the tyre in case of overheating.,prevent the brakes from overheating.,prevent heat transfer from the brake disks to the tyres.,release air from the tyre in case of overpressure.,A,"Thermal (or fusible) plugs are safety devices installed in the wheel rims of aircraft. If severe braking causes the wheel assembly to overheat to a critical temperature, the plug melts, safely releasing the tyre pressure and preventing a catastrophic tyre explosion."
AGK,532,Thermal plugs are installed in:,wheel rims.,fire warning systems.,cabin windows.,cargo compartments.,A,"Fusible thermal plugs are threaded directly into the metallic structure of the wheel rims. This location ensures they are in direct thermal contact with the wheel body, allowing them to rapidly sense the heat transferred from the brake disks to the tyre bead area."
AGK,533,"When a landing gear wheel is hydroplaning, its friction factor is equal to:",0,1,0.1,0.5,A,"Dynamic hydroplaning occurs when a wedge of water builds up under the tyre, lifting it completely off the runway surface. Because the tyre is riding entirely on a film of water, the coefficient of friction effectively drops to 0, resulting in a total loss of braking and directional control."
AGK,534,Shimmy occurs on the nosewheel landing gear during taxiing when:1. the wheels tend to describe a sinusoidal motion on the ground2. the wheels no longer respond to the pilot's actionsThis effect is overcome by means of:3. the torque link4. an accumulator associated with the steering cylinderThe combination of correct statements is:,"1, 3.","1, 4.","2, 4.","2, 3.",A,"Nosewheel shimmy is a rapid, unstable oscillation or sinusoidal motion of the nosewheel during ground operations. This damaging vibration is primarily suppressed and overcome by the mechanical dampening action of the landing gear torque links (scissor links) and dedicated shimmy dampers."
AGK,535,The illumination of the green landing gear light indicates that the landing gear is :,locked-down.,in the required position.,locked-down and its door is locked.,not in the required position.,A,"In the cockpit landing gear indicator panel, a green light signifies that the respective landing gear strut is fully extended and its mechanical overcentre lock is engaged. This confirms to the flight crew that the gear is safely ""locked-down"" and ready to support the aircraft's weight."
AGK,536,A tubeless tyre has :1- a built-in-air tube.2- no built-in-air tube.3- a crossed side casing.4- a radial side casing.The combination of correct statements is:,"2, 4.","1, 4.","2, 3.","1,3.",A,"Modern transport aircraft commonly use tubeless tyres, which eliminate the inner air tube, relying instead on an airtight inner liner vulcanized to the tyre casing. Additionally, these high-performance tyres often utilize a radial casing design for superior heat dissipation and structural strength."
AGK,537,"In a hydraulic braking system, the accumulator is:",an accumulator designed to restore brake energy in the event of a hydraulic failure.,a damping type accumulator designed to take up the pressure fluctuations of the automatic braking system.,designed to take up the hydraulic energy filtered by the anti-skid system in order to prevent wheel blocking.,a buffer accumulator whose function is to assist the hydraulic system during high intensity braking.,A,"The brake accumulator is a pressure storage vessel within the hydraulic braking system. Its primary purpose is to provide an emergency reserve of hydraulic pressure, allowing the pilots to apply the brakes several times even if the main hydraulic pumps or supply systems fail."
AGK,538,Which is (are) the damping element(s) in a landing gear shock absorber used on larger aircraft ?,Nitrogen and a viscous liquid.,Nitrogen.,Oxygen.,Springs.,A,"Large aircraft landing gears utilize oleo-pneumatic shock absorbers to cushion landing impacts. These struts use a combination of compressed nitrogen gas, which acts as a spring to support the aircraft's weight, and a viscous hydraulic fluid (oil) being forced through an orifice to provide damping and dissipate energy."
AGK,539,"In some aircraft, there is a protection device to avoid the landing gear being inadvertently retracted on the ground. It consists of :",A latch located in the landing gear lever.,An aural warning horn.,A warning light which is activated by the WOW (Weight On Wheels) sensor system.,A bolt.,A,"To prevent the catastrophic event of the landing gear being inadvertently retracted while the aircraft is on the ground, a mechanical latch is incorporated into the landing gear selector lever. This latch is typically controlled by weight-on-wheels (WOW) switches, physically preventing the lever from being moved to the 'UP' position."
AGK,540,A tubeless tyre is a tyre:1. which requires solid or branched wheels2. whose valve can be sheared in sudden accelerations3. whose mounting rim must be flawless4. which requires no rim protection between rim flange and tire removing device5. which does not burst in the event of a tire puncture6. which eliminates internal friction between the tube and the tireThe combination regrouping all the correct statements is :,"1, 5, 6.","3, 4, 5.","1, 2, 5.","2, 3, 6.",A,"Tubeless tyres require solid, flawless mounting rims to maintain an airtight seal without an inner tube. They eliminate the risk of internal friction between a tube and the casing, and they are less prone to explosive blowouts compared to tube-type tyres when punctured."
