chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Human Performance & Limitation,2520,"Concerning the relation between performance and stress, which of the following statement(s) is (are) correct?",A moderate level of stress may improve performance.,A student will learn faster and better under severe stress.,Domestic stress will not affect the pilot's performance because he is able to leave this type of stress on the ground.,A well trained pilot is able to eleminate any kind of stress completely when he is scheduled to fly.,A,"According to the Yerkes-Dodson law, the relationship between stress (arousal) and performance is an inverted U-curve. A moderate level of stress optimizes arousal and improves performance, whereas too little stress leads to boredom and too much stress leads to cognitive overload."
Human Performance & Limitation,2521,Stress is a frequent aspect of the pilot's job. Under which of the following circumstances does it occur?1. Stress occurs whenever the pilot must revise his plan of action and does not immediately have a solution2. Stress occurs with unexperienced pilots when the situational demands exceed their individual capabilities3. Stress occurs if a pilot is convinced that he will not be able to find a solution for the problem he just is confronted with,"1, 2 and 3 are correct",Only 1 is false,"1 and 2 are correct, 3 is false","1 is correct, 2 and 3 are false",A,"Stress is triggered by a perceived imbalance between environmental demands and personal capabilities. This occurs when a pilot must revise a plan without an immediate solution, when demands exceed capabilities, or when the pilot believes no solution is available."
Human Performance & Limitation,2522,"Divided attention is the ability :1. to execute several mental activities at almost the same time (i.e. when switching attention from outside the aircraft to the airspeed indicator on the instrument panel)2. to monitor the progress of a motor programme (i.e. flying or taxiing the airplane) on a relatively subconscious level, while making a radio call at the same time (requiring a rather conscious level)3 .to select information and check if it is relevant to the task in hand. At the same time no other operation can be performed.4. to delegate tasks to the copilot while concentrating on the procedures","1 and 2 are correct, 3 and 4 are false","1,2 and 3 are correct, 4 is false","1 and 3 are correct, 2 and 4 are false",Only 3 is false,A,Divided attention is the capability to manage multiple tasks concurrently or sequentially by rapidly switching focus or by executing automated motor tasks subconsciously while consciously focusing on another task.
Human Performance & Limitation,2523,The physiology of stress is now well known:,stress promotes an increase in physical strength rather than promoting mental oerformance,the only stress hormone is adrenaline,stress develops in 2 stages: sublimation of performance and then acceleration of heart rate and increase in vision,stress slows down the production of sugar by the organism and thereby slows down the heart rate,A,"The physiological stress response (the fight-or-flight response) prepares the body for immediate physical action by releasing adrenaline, which increases heart rate, dilates bronchioles, and redirects blood flow to large muscles, prioritizing physical strength over complex cognitive processing."
Human Performance & Limitation,2524,"An overstressed pilot may show the following symptoms:1. mental blocks, confusion and channelized attention2. resignation, frustration, rage3. deterioration in motor coordination4. high pitch voice and fast speaking","1, 2, 3 and 4 are correct","1, 2 and 3 are correct, 4 is false","1 and 2 are correct, 3 and 4 are false","1and 3 are correct, 2 and 4 are false",A,"Excessive stress leads to cognitive, emotional, behavioral, and physiological symptoms. These include mental blocks and channelized attention, frustration or resignation, loss of motor coordination, and a high-pitched voice with rapid speech."
Human Performance & Limitation,2525,In the initial phase of flight training the relationship between confidence and expertise can be described as:,"the pilot is competent enough to fly the aircraft at this stage, but does neither have a great deal of confidence in his/her abilities nor in the whole system",the pilot is sufficiently competent to fly and knows at this stage what he can and cannot do,"during this learning stage, the pilot is very near to achieving full potential knowledge of the machine",the pilot has a sphere of expertise wich is reduced to daily use of his skills,A,"Early in flight training, a student's confidence lags behind their actual basic competence because they are highly aware of their limitations and have not yet built trust in their own skills or the aviation system."
Human Performance & Limitation,2526,A pilot is skilled when he :-1 : trains or practises regularly-2 : knows how to manage himself/herself-3 : possesses all the knowledge associated with his aircraft-4 : knows how to keep resources in reserve for coping with the unexpected,"1,2,4","1,2,3,4","1,2","2, 3,4",A,"Skill development relies on regular practice and training and self-management. Furthermore, a skilled pilot knows how to conserve mental and physical resources as reserves to handle unexpected events. Simply possessing theoretical knowledge without application does not define a skilled pilot."
Human Performance & Limitation,2527,The rate of accidents in commercial aviation (excluding sabotage and acts of terrorism) :,is approximatively 1 accident per million airport movements,has improved considerably over the last fifteen years,is a long way short of the safety level of road transport,represents about fifty accidents around the world every year,A,"Statistical records for modern commercial jet aviation show that the accident rate is extremely low, hovering at approximately one major hull-loss accident per one million flight cycles (airport movements)."
Human Performance & Limitation,2528,"As a cause of accidents, the human factor",is cited in approximately 70 - 80 % of aviation accidents,has increased considerably since 1980 - the percentage of accident in which this factor has been involved has more than tripled since this date,"which is cited in current statistics, applies to the flight crew and ATC only",plays a negligible role in commercial aviation accidents. It is much more important in general aviation,A,Numerous studies and accident investigations consistently show that human error (the human factor) is a primary or contributing cause in approximately 70% to 80% of all aviation accidents.
Human Performance & Limitation,2529,What airplane equipment marked a subtantial decrease in hull loss rates in the eighties?,GPWS,DME,SSR,TCAS,A,"The introduction of the Ground Proximity Warning System (GPWS) in the late 1970s and 1980s significantly reduced the occurrence of Controlled Flight Into Terrain (CFIT) accidents, resulting in a dramatic drop in commercial hull loss rates."
