chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Performance,1720,Density altitude is the,pressure altitude corrected for 'non standard' temperature,altitude reference to the standard datum plane,altitude read directly from the altimeter,height above the surface,A,Density altitude is defined as pressure altitude corrected for non-standard temperature deviations. It represents the altitude in the standard atmosphere at which the air density is equal to the actual density of the air being flight-tested.
Performance,1721,The Density Altitude,is used to determine the aeroplane performance.,is equal to the pressure altitude.,is used to establish minimum clearance of 2.000 feet over mountains.,is used to calculate the FL above the Transition Altitude.,A,"Density altitude is a direct measure of air density, which affects aerodynamic lift, engine thrust, and propeller efficiency. Therefore, it is the primary parameter used to determine overall aircraft takeoff, climb, and cruise performance."
Performance,1722,Given that:VEF= Critical engine failure speed VMCG= Ground minimum control speedVMCA= Air minimum control speed VMU= Minimum unstick speedV1= Take-off decision speedVR= Rotation speedV2 min.= Minimum take-off safety speedThe correct formula is:,VMCG<=VEF < V1,1.05 VMCA<= VEF<= V1,1.05 VMCG< VEF<= VR,V2min<= VEF<= VMU,A,"By certification rules, VEF (critical engine failure speed) must be equal to or greater than VMCG (minimum control speed on the ground) to ensure directional control can be maintained. Additionally, VEF must be less than V1 (takeoff decision speed) because V1 is the speed by which the pilot must have recognized the failure and initiated abort actions."
Performance,1723,Given:VS= Stalling speedVMCA= Air minimum control speed VMU= Minimum unstick speed (disregarding engine failure)V1= take-off decision speedVR= Rotation speedV2 min.= Minimum take-off safety speedVLOF: Lift-off speed The correct formula is:,VS< VMCA< V2 min,VR< VMCA< VLOF,VMU<= VMCA< V1,V2min< VMCA> VMU,A,"To ensure safety margins, the stalling speed (VS) is the lowest speed, followed by the air minimum control speed (VMCA) which must be lower than V2 min (the minimum takeoff safety speed) to ensure the aircraft remains fully controllable during the climbout after an engine failure."
Performance,1724,"Regarding take-off, the take-off decision speed V1:",is the airspeed on the ground at which the pilot is assumed to have made a decision to continue or discontinue the take-off.,is always equal to VEF (Engine Failure speed).,is an airspeed at which the aeroplane is airborne but below 35 ft and the pilot is assumed to have made a decision to continue or discontinue the take-off .,is the airspeed of the aeroplane upon reaching 35 feet above the take-off surface.,A,"V1 is the takeoff decision speed. If an engine failure is recognized at or before V1, the takeoff must be aborted; if it occurs after V1, the takeoff must be continued as there is insufficient runway remaining to safely stop the aircraft."
Performance,1725,The point where Drag coefficient/Lift coefficient is a minimum is,the point where a tangent from the origin touches the drag curve.,the lowest point of the drag curve.,at stalling speed (VS).,"on the """"back side"""" of the drag curve.",A,"The minimum ratio of drag coefficient to lift coefficient (CD/CL) corresponds to the maximum lift-to-drag ratio (CL/CD). On a drag polar diagram, this is graphically represented by the point of tangency of a line drawn from the origin to the curve."
Performance,1726,Which of the following statements is correct?,Induced drag decreases with increasing speed.,Induced drag increases with increasing speed.,Induced drag is independant of the speed.,Induced drag decreases with increasing angle of attack.,A,"Induced drag is a byproduct of lift generation and is inversely proportional to the square of the airspeed. As speed increases, the required lift coefficient decreases, leading to a significant reduction in induced drag."
Performance,1727,The point at which a tangent out of the origin touches the power required curve,is the point where the Lift to Drag ratio is a maximum.,is the point where Drag coefficient is a minimum.,is the point where the Lift to Drag ratio is a minimum.,is the maximum drag speed.,A,"For a jet aircraft, the point of tangency from the origin to the power required curve represents the speed for maximum lift-to-drag ratio (L/D max), which yields the maximum range in a glide or jet cruise."
Performance,1728,"On a reciprocating engined aeroplane, to maintain a given angle of attack, configuration and altitude at higher gross mass",the airspeed and the drag will be increased. 145,the airspeed will be decreased and the drag increased.,the lift/drag ratio must be increased.,the airspeed will be increased but the drag does not change.,A,"To maintain a constant angle of attack (and thus a constant lift coefficient) at a higher gross mass, the aircraft must fly at a higher airspeed to generate the additional lift. Because the airspeed increases while the drag coefficient remains constant, the total drag will also increase."
Performance,1729,"On a reciprocating engined aeroplane, to maintain a given angle of attack, configuration and altitude at higher gross mass",an increase in airspeed and power is required.,a higher coefficient of drag is required.,an increase in airspeed is required but power setting does not change.,requires an increase in power and decrease in the airspeed.,A,"At a higher gross mass, maintaining the same angle of attack requires a higher airspeed to generate the necessary lift. To sustain this higher airspeed and overcome the increased drag, a higher engine power setting is required."
Performance,1730,"On a reciprocating engined aeroplane, with increasing altitude at constant gross mass, angle of attack and configuraton the drag",remains unchanged but the TAS increases.,remains unchanged but the the CAS increases.,increases at constant TAS.,decreases and the CAS decreases too because of the lower air density.,A,"To maintain a constant lift at a given angle of attack (constant CL) as altitude increases (and air density decreases), the true airspeed (TAS) must increase. However, because lift is directly proportional to dynamic pressure, the indicated airspeed (IAS) remains constant."
Performance,1731,"On a reciprocating engined aeroplane, with increasing altitude at constant gross mass, angle of attack and configuraton the power required",increases and the TAS increases by the same percentage.,increases but TAS remains constant.,decreases slightly because of the lower air density.,remains unchanged but the TAS increases.,A,"At constant weight, configuration, and angle of attack, the total drag remains constant, while the required True Airspeed (TAS) increases with altitude due to lower air density. Since power required is the product of drag and TAS, it increases in direct proportion to (by the same percentage as) the increase in TAS."
