chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Instrumentation,1117,"In a standard atmosphere and at the sea level, the calibrated airspeed (CAS) is :",equal to the true airspeed (TAS).,independent of the true airspeed (TAS).,higher than the true airspeed (TAS).,lower than the true airspeed (TAS).,A,"Under standard sea-level conditions (1013.25 hPa, 15°C), air density is at standard value (1.225 kg/m³), meaning no density correction is required, which results in Calibrated Airspeed (CAS) being equal to True Airspeed (TAS)."
Instrumentation,1118,The pressure measured at the forward facing orifice of a pitot tube is the :,total pressure.,static pressure.,total pressure plus static pressure.,dynamic pressure.,A,"A pitot tube's forward-facing orifice is aligned with the airflow to measure total (pitot) pressure, which is the sum of static atmospheric pressure and dynamic pressure from the aircraft's speed."
Instrumentation,1119,A pitot blockage of both the ram air input and the drain hole with the static port open causes the airspeed indicator to :,react like an altimeter.,read a little high.,read a little low.,freeze at zero.,A,"If both the ram input and the drain hole of a pitot tube are blocked, the total pressure is trapped inside the instrument casing. During a climb or descent, only the static port remains open, which causes the diaphragm to expand and contract solely with changes in static pressure, making the airspeed indicator act like an altimeter."
Instrumentation,1120,A pitot tube covered by ice which blocks the ram air inlet will affect the following instrument (s) :,airspeed indicator only.,altimeter only.,vertical speed indicator only.,"airspeed indicator, altimeter and vertical speed indicator.",A,"The pitot tube only supplies total pressure to the airspeed indicator. The altimeter and vertical speed indicator are connected exclusively to the static port system, so a blocked pitot inlet will not affect them."
Instrumentation,1121,"(For this question use annex 022-9771A)The atmospheric pressure at FL 70 in a """"standard + 10"""" atmosphere is:",781.85 hPa.,942.13 hPa.,1 013.25 hPa.,644.41 hPa.,A,"FL 70 represents a pressure altitude of 7,000 feet. In standard conditions, pressure at 7,000 ft is approximately 781.85 hPa, which remains unchanged in a 'standard + 10' temperature profile since pressure altitudes are referenced to standard isobaric surfaces."
Instrumentation,1122,"In a non-pressurized aircraft, if one or several static pressure ports are damaged, there is an ultimate emergency means for restoring a practically correct static pressure intake :",breaking the rate-of-climb indicator glass window,slightly opening a window to restore the ambient pressure in the cabin,descending as much as possible in order to fly at a pressure as close to 1013.25 hPa as possible,"calculating the ambient static pressure, allowing for the altitude and QNH and adjusting the instruments",A,"Breaking the glass window of the rate-of-climb (vertical speed) indicator allows cabin air to enter the static system. Since cabin pressure in non-pressurized aircraft is close to ambient pressure, this acts as an alternate static source."
Instrumentation,1123,The error in altimeter readings caused by the variation of the static pressure near the source is known as:,position pressure error.,barometric error.,instrument error.,hysteresis effect.,A,"Position error (or position pressure error) occurs when airflow patterns around the fuselage disrupt the local static pressure at the static ports, causing errors that vary with airspeed, angle of attack, and configuration."
Instrumentation,1124,If the static source of an altimeter becomes blocked during a descent the instrument will:,continue to display the reading at which the blockage occured,gradually indicate zero,under-read,indicate a height equivalent to the setting on the millibar subscale,A,"A blocked static source traps the static pressure inside the altimeter casing at the altitude where the blockage occurred. As the aircraft descends, the trapped pressure cannot change, forcing the altimeter to freeze and display a constant reading."
Instrumentation,1125,The primary factor which makes the servo-assisted altimeter more accurate than the simple pressure altimeter is the use of:,an induction pick-off device,more effective temperature compensating leaf springs,combination of counters/pointers,a sub-scale logarithmic function,A,"A servo-assisted altimeter replaces mechanical linkages with an electromagnetic induction pick-off. This eliminates friction between the capsules and the display gears, allowing the capsules to expand and contract freely, which yields much higher accuracy."
Instrumentation,1126,"If the static source to an altimeter becomes blocked during a climb, the instrument will:",continue to indicate the reading at which the blockage occured,under-read by an amount equivalent to the reading at the time that the instrument became blocked,over-read,gradually return to zero,A,"If the static source becomes blocked, the atmospheric pressure inside the altimeter's case is sealed. Because the static pressure cannot adjust to the climb, the altimeter continues to indicate the fixed reading at the time of blockage."
