chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
IFR Communications,5806,"What does the term """"broadcast"""" mean?",A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A radiotelephony transmission from ground station to aircraft in flight.,A transmission where no reply is required from the receiving station.,A transmission containing meteorological and operational information to aircraft engaged in flights over remote and oceanic areas out of range of VHF ground stations.,A,A broadcast is defined under ICAO Annex 10 as a transmission of information relating to air navigation that is not addressed to a specific station or stations. This differs from directed transmissions which are addressed to particular aircraft or stations.
IFR Communications,5807,"What does the term """"air-ground communication"""" mean?",Two-way communication between aircraft and stations or locations on the surface of the earth,One-way communication from aircraft to stations or locations on the surface of the earth,One-way communication from stations or locations on the surface of the earth,Any communication from aircraft to ground station requiring handling by the Aeronautical Fixed Telecommunication Network (AFTN),A,"Air-ground communication refers to two-way radio contact between aircraft in flight and stations on the earth's surface. This is essential for air traffic services, weather updates, and flight information reports."
IFR Communications,5808,"What does the term """"Expected Approach Time"""" mean:","The time at which ATC expects that an arriving aircraft, following a delay, will leave the holding point to complete its approach for a landing","The time at which an arriving aircraft, upon reaching the radio aid serving the destination aerodrome, will commence the instrument approach procedure for a landing",The time at which an arriving aircraft expects to arrive over the appropriate designated navigation aid serving the destination aerodrome,The holding time over the radio facility from which the instrument approach procedure for a landing will be initiated,A,"Expected Approach Time (EAT) is the time at which ATC expects an arriving aircraft, after experiencing a delay, will leave the holding fix to complete its instrument approach. It is critical for pilot planning in the event of a radio communications failure."
IFR Communications,5809,"When flying in accordance with IFR, which of the following best describes the term """"Visual approach"""" ?",An approach by an IFR flight when either part or all of an instrument approach procedure is not completed and the approach is executed in visual reference to terrain,An approach executed by an IFR flight unable to maintain VMC,A visual manoeuvre executed by an IFR flight when the weather conditions at the aerodrome of destination are equal to or better than required VMC minima,An extension of an instrument approach procedure to bring an aircraft into position for landing on a runway which is not suitably located for straight-in-approach,A,A visual approach is an approach conducted by an IFR flight where the pilot can maintain visual reference to the terrain and bypasses part or all of the instrument approach procedure. The pilot must have the landing runway or preceding aircraft in sight to perform this approach.
IFR Communications,5810,"What does the term """"clearance limit"""" mean:",The point to which an aircraft is granted an air traffic control clearance,The time of expiry of an air traffic control clearance,The time at which an aircraft is given an air traffic control clearance,The time after which an air traffic control clearance will be automatically cancelled if the flight has not been commenced,A,"The clearance limit is the specific point, fix, or aerodrome to which an aircraft is authorized to proceed under an ATC clearance. Once reached, the aircraft must hold unless a further clearance is received."
IFR Communications,5811,"An """"Automatic Terminal Information Service"""" provides:",Routine information to arriving and departing aircraft by means of continuous and repetitive broadcast .,Information concerning en-route weather phenomena which may effect the safety of aircraft operation.,Current meteorological and operational information essential for the safety of the air navigation within a FIR.,Weather reports relating a specific number of aerodromes located within a flight information region (FIR).,A,"The Automatic Terminal Information Service (ATIS) is a continuous broadcast of recorded non-control information in selected high-activity terminal areas. It provides essential operational information such as weather, active runways, and altimeter settings to reduce controller workload."
IFR Communications,5812,"What does the term """"way point"""" mean:",A specified geographical position used to define an area navigation route or the flight path of an aircraft employing area navigation,A defined position on an aerodrome used for the calibration of the inertial navigation system,A signal indicating the direction of the runway-in-use,A general term meaning the taxiway- and the runway-system of an international airport,A,"A waypoint is a specified geographical position defined by coordinates, used for defining an area navigation (RNAV) route or the flight path of an aircraft. It can be a fly-by or fly-over point."
IFR Communications,5813,"What does the abbreviation """"IMC"""" mean?",Instrument meteorological conditions.,In most cases.,International meteorological channel.,In meteorological conditions.,A,"IMC stands for Instrument Meteorological Conditions, which are weather conditions expressed in terms of visibility, distance from cloud, and ceiling, less than the minima specified for visual meteorological conditions (VMC)."
IFR Communications,5814,"What does the abbreviation """"H24"""" mean?",Continuous day and night service.,Sunrise to sunset.,Sunset to sunrise.,No specific working hours.,A,"Under ICAO aeronautical information standards, the abbreviation H24 indicates a continuous 24-hour service, operating day and night without interruption."
IFR Communications,5815,"What does the abbreviation """"AIS"""" mean?",Aeronautical information service.,Aerodrome identification signal-area.,Airport information system.,Aerodrome information service.,A,"AIS stands for Aeronautical Information Service, which is established to ensure the flow of information necessary for the safety, regularity, and efficiency of international air navigation."
IFR Communications,5816,"What does the abbreviation """"SAR"""" mean?",Search and rescue.,Surveillance airport radar.,Standard arrival route.,Secondary altimeter responder.,A,"SAR is the standard international abbreviation for Search and Rescue, referring to operations undertaken to locate and retrieve persons in distress."
IFR Communications,5817,"What does the abbreviation """"ATIS"""" mean?",Automatic terminal information service.,Airport terminal information service.,Automatic terminal information system.,Air traffic information service.,A,"ATIS stands for Automatic Terminal Information Service, which provides continuous, repetitive broadcasts of routine aerodrome meteorological and operational information."
IFR Communications,5818,"What does the abbrevation """"INS"""" mean:",Inertial navigation system,Instrument navigation system,International NOTAM system,International navigation service,A,"INS stands for Inertial Navigation System, a self-contained navigation aid that uses accelerometers and gyroscopes to track the aircraft's position, orientation, and velocity without external references."
IFR Communications,5819,"What does the abbrevation """"MLS"""" mean:",Microwave landing system,Minimum safe level,Mean sea level,Minimum sector level,A,"MLS stands for Microwave Landing System, an all-weather precision landing system that operates in the microwave spectrum and provides lateral, elevation, and range guidance."
IFR Communications,5820,"What does """"SELCAL"""" mean:",A system which permits the selective calling of individual aircraft over radiotelephone channels linking a ground station with the aircraft,A system in which radiotelephony communication can be established between aircraft only,A system in which radiotelephony communication between two stations can take place in both directions simultaneously,A system provided for direct exchange of information between air traffic services (ATS) units,A,"SELCAL (Selective Calling) is a system that alerts an aircraft crew when a ground station wants to establish radio communication, allowing the crew to monitor long-range HF frequencies without listening to continuous static."
IFR Communications,5821,"What does the abbreviation """"SSR"""" mean:",Secondary surveillance radar,Search and surveillance radar,Surface strength of runway,Standard snow report,A,"SSR stands for Secondary Surveillance Radar, a radar system that transmits interrogation pulses to which aircraft transponders respond with coded signals containing identity and altitude data."
IFR Communications,5822,"What does the abbrevation """"RNAV"""" mean:",Area navigation,Radar aided navigation,Route navigation,Radio navigation,A,"RNAV stands for Area Navigation, a method of navigation that permits aircraft operation on any desired flight path within the coverage of station-referenced navigation aids or self-contained aids, or a combination of these."
IFR Communications,5823,"What does the abbreviation """"RVR"""" mean:",Runway visual range,Radar vectors requested,Runway visibility report,Recleared via route...,A,"RVR stands for Runway Visual Range, which is the range over which the pilot of an aircraft on the centerline of a runway can see the runway markings or the lights delineating the runway or identifying its centerline."
IFR Communications,5824,QFE is the RTF Q-code to indicate:,The atmospheric pressure at aerodrome elevation (or at runway threshold).,The atmospheric pressure referred to the highest fixed obstacle located on the surface of an aerodrome.,The atmospheric pressure corrected to the aircraft cockpit height.,The altimeter sub-scale setting to obtain the flight level reference datum.,A,"QFE is the atmospheric pressure at the aerodrome elevation (or runway threshold datum). Setting QFE on the altimeter subscale makes the altimeter read height above that datum, indicating zero on landing."
IFR Communications,5825,QNH is the Q-code to indicate:,The altimeter sub-scale setting to obtain elevation when on the ground.,The atmospheric pressure at aerodrome elevation (or at runway threshold).,The atmospheric pressure measured at the aerodrome reference point (ARP).,The atmospheric pressure referred to the highest obstacle located on the surface of an aerodrome.,A,"QNH is the atmospheric pressure corrected to mean sea level using standard atmosphere temperature lapse rates. Setting QNH on the altimeter subscale causes it to display altitude above sea level, showing the aerodrome elevation when on the ground."
IFR Communications,5826,What is the correct way of transmitting the number 118.1 to indicate a frequency ?,one one eight decimal one,one eighteen one,one one eight one,one one eight point one,A,"Frequencies containing a decimal point are transmitted using the word 'decimal'. Under ICAO standards, the frequency 118.1 is spoken as 'one one eight decimal one'."
IFR Communications,5827,What is the correct way of transmitting the number 13.500 to indicate an altitude or cloud height ?,one three thousand five hundred,one three five hundred,one three five zero zero,thirteen thousand five hundred,A,"For altitudes and cloud heights, thousands are transmitted as individual digits followed by the word 'thousand', and hundreds are transmitted in the same manner. Therefore, 13,500 is transmitted as 'one three thousand five hundred'."
IFR Communications,5828,"During radar vectoring, the controller asks the pilot of XY-ABC to turn on to heading 360°. The correct read back of this instruction is :","Heading three six zero, X-BC.","Heading north, X-BC.","Heading three hundred sixty, X-BC.",A read back is not necessary as XY-ABC has been identified,A,"Heading instructions must always be read back using the individual digits of the heading. Since the aircraft call sign can be abbreviated to the first and last two letters after contact is established, 'Heading three six zero, X-BC' is the correct readback."
IFR Communications,5829,The time is 4:15 P.M. What is the correct way of transmitting this time if there is any possibility of confusion about the hour ?,One six one five,Four fifteen P.M.,Sixteen fifteen,Four fifteen in the afternoon,A,"When transmitting time in aviation, Coordinated Universal Time (UTC) and the 24-hour clock are used. If there is a risk of confusion about the hour, both the hour and minutes are transmitted, making 4:15 P.M. 'one six one five'."
IFR Communications,5830,Before transmitting the pilot should...:,Listen out on the frequency to ensure no interference with another station already transmitting will occur.,Make sure that the aircraft is levelled off.,Always write the message and read it during the transmission.,Make sure that the emergency frequency is tuned in at the same time.,A,"To avoid stepping on or blocking other transmissions, a pilot must always listen out on the frequency before transmitting to ensure no other station is currently speaking."
IFR Communications,5831,"What is the consequence of a microphone button stuck on transmit (switched """"on"""") ?",The frequency can not be used by others.,None.,"Other stations will have to use the """"words twice"""" technique.",Readability will improve for all stations.,A,"A stuck microphone button (a 'stuck mike') causes continuous carrier wave transmission, blocking all other communications on that frequency and preventing anyone else from being heard."
