chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Mass & Balance,1489,The centre of gravity of a body is that point,through which the sum of the forces of all masses of the body is considered to act.,where the sum of the moments from the external forces acting on the body is equal to zero.,where the sum of the external forces is equal to zero.,which is always used as datum when computing moments.,A,The center of gravity (CG) of a body is the point through which the resultant force of gravity acts. It represents the average location of the weight of the aircraft or body.
Mass & Balance,1490,The centre of gravity of an aeroplane is that point through which the total mass of the aeroplane is said to act. The weight acts in a direction,parallel to the gravity vector.,always parallel to the aeroplane's vertical axis.,at right angles to the flight path.,governed by the distribution of the mass within the aeroplane.,A,"The total weight of an aircraft is considered to act directly through the center of gravity, in a direction parallel to the local gravity vector (straight down toward the Earth's center)."
Mass & Balance,1491,"When an aeroplane is stationary on the ground, its total weight will act vertically",through its centre of gravity.,through its centre of pressure.,through the main wheels of its undercarriage assembly.,through a point defined as the datum point.,A,"Whether in flight or stationary on the ground, the total weight of the aircraft always acts vertically downwards through its center of gravity (CG)."
Mass & Balance,1492,"The weight of an aeroplane, which is in level non accelerated flight, is said to act",vertically through the centre of gravity.,vertically through the centre of pressure.,vertically through the datum point.,always along the vertical axis of the aeroplane.,A,"In steady, unaccelerated flight, the weight of the aircraft is balanced by lift, and acts vertically downward through the center of gravity."
Mass & Balance,1493,The centre of gravity of an aeroplane,can be allowed to move between defined limits.,may only be moved if permitted by the regulating authority and endorsed in the aeroplane's certificate of airworthiness.,is in a fixed position and is unaffected by aeroplane loading.,must be maintained in a fixed position by careful distribution of the load.,A,The center of gravity is not fixed; it moves as fuel is consumed and passengers move. It must be maintained within the certified forward and aft limits to ensure stability and control.
Mass & Balance,1494,The centre of gravity is the,point where all the aircraft mass is considered to be concentrated,"centre of thrust along the longitudinal axis, in relation to a datum line","focus along the longitudinal axis, in relation to a datum line","neutral point along the longitudinal axis, in relation to a datum line",A,"The center of gravity is defined as the unique point about which the aircraft would balance, representing the point where the entire mass of the vehicle is considered concentrated."
Mass & Balance,1495,What determines the longitudinal stability of an aeroplane ?,The location of the centre of gravity with respect to the neutral point.,"The effectiveness of the horizontal stabilizer, rudder and rudder trim tab.",The relationship of thrust and lift to weight and drag.,"The dihedral, angle of sweepback and the keel effect.",A,Longitudinal static stability is determined by the distance between the center of gravity (CG) and the aircraft's neutral point. The CG must be located forward of the neutral point to provide positive static stability.
Mass & Balance,1496,"When the centre of gravity is at the forward limit, an aeroplane will be :",extremely stable and will require excessive elevator control to change pitch.,extremely stable and require small elevator control to change pitch.,extremely unstable and require excessive elevator control to change pitch.,extremely unstable and require small elevator control to change pitch.,A,"Having the CG at its forward limit increases the static margin, making the aircraft highly stable longitudinally. However, it requires a larger nose-up elevator deflection (pitch control force) to maneuver or flare during landing."
Mass & Balance,1497,If the centre of gravity of an aeroplane moves forward during flight the elevator control will :,become heavier making the aeroplane more difficult to manouevre in pitch,become lighter making the aeroplane more difficult to manouevre in pitch.,become heavier making the aeroplane more easy to manouevre in pitch.,become lighter making the aeroplane more easy to manouevre in pitch.,A,"As the CG moves forward, the tailplane must generate more downforce to balance the nose-heavy moment. This increases the elevator control forces (making them feel heavier) and reduces maneuverability in pitch."
Mass & Balance,1498,An aeroplane is loaded with its centre of gravity towards the rear limit. This will result in :,an increased risk of stalling due to a decrease in tailplane moment,a reduced fuel consumption as a result of reduced drag.,an increase in longitudinal stability.,a reduction in power required for a given speed.,A,Loading the aircraft with the CG near the aft limit decreases the longitudinal static stability and reduces the pitch-down restoring moment. This increases the risk of inadvertent pitch-ups and stalling.
Mass & Balance,1499,"During take-off you notice that, for a given elevator input, the aeroplane rotates much more rapidly than expected. This is an indication that :",the centre of gravity may be towards the aft limit.,the aeroplane is overloaded.,the centre of gravity is too far forward.,the centre of pressure is aft of the centre of gravity.,A,"Rapid and sensitive rotation during takeoff indicates reduced pitch stability and a small elevator control force requirement, which is a symptom of the CG being located near or beyond the aft limit."
Mass & Balance,1500,If the centre of gravity is near the forward limit the aeroplane will:,require elevator trim which will result in an increase in fuel consumption.,benefit from reduced drag due to the decrease in angle of attack.,require less power for a given airspeed.,tend to over rotate during take-off.,A,"A forward CG requires significant upward deflection of the elevator (or stabilizer trim) to counter the nose-down pitch. This increased tail downforce increases trim drag, which raises fuel consumption."
Mass & Balance,1501,An aeroplane is said to be 'neutrally stable'. This is likely to:,be caused by a centre of gravity which is towards the rearward limit.,be caused by a centre of gravity which is towards the forward limit.,be totally unrelated to the position of the centre of gravity.,cause the centre of gravity to move forwards.,A,"As the CG moves rearward toward the neutral point, the aircraft's longitudinal static stability decreases. When the CG reaches the neutral point, the aircraft becomes neutrally stable."
