chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Principles of Flight,5259,"In a stationary subsonic streamline flow pattern, if the streamlines converge, in this part of the pattern, the static pressure (I) will ...and the velocity (II) will ... :","(I) decrease, (II) increase.","(I) increase, (II) increase.","(I) increase, (II) decrease.","(I) increase, (II) decrease.",A,"In a subsonic, stationary streamline flow pattern, a convergence of streamlines indicates a decrease in the cross-sectional area of the flow. According to Bernoulli's principle and the continuity equation, the velocity of the flow must increase and the static pressure must decrease."
Principles of Flight,5260,The units of the density of the air (I) and the force (II) are:,"(I) kg / m3, (II) N.","(I) kg / m², (II) kg.","(I) N / m3, (II) N.","(I) N / kg, (II) kg.",A,"In the International System of Units (SI), the density of a substance (mass per unit volume) is measured in kilograms per cubic meter (kg/m3), and force is measured in Newtons (N)."
Principles of Flight,5261,The units of wing loading (I) W / S and (II) dynamic pressure q are:,"(I) N / m², (II) N / m².","(I) N / m3, (II) kg / m².","(I) kg / m, (II) N / m².","(I) N / m, (II) kg.",A,"Wing loading is defined as the weight of the aircraft divided by the wing area, which is a force per unit area measured in Newtons per square meter (N/m2). Dynamic pressure (q = 0.5 * rho * V^2) also represents kinetic energy per unit volume, which has the same SI units of Newtons per square meter (N/m2)."
Principles of Flight,5262,"Which formula or equation describes the relationship between force (F), acceleration (a) and mass (m)?",F=m. a,m=F.a,a=F. m,F=m / a,A,"Newton's second law of motion states that the force (F) acting on an object is equal to the mass (m) of that object multiplied by its acceleration (a), expressed as the equation: F = m * a."
Principles of Flight,5263,The static pressure is acting:,in all directions.,only in direction of the flow.,only perpendicular to the direction of the flow.,only in the direction of the total pressure.,A,"Static pressure is the ambient atmospheric pressure acting equally in all directions at a given point in space, regardless of the velocity or direction of any local airflow."
Principles of Flight,5264,Consider a certain stream line tube. The velocity of the stream in the tube is V. An increase of temperature of the stream at constant value of V will:,decrease the mass flow.,increase the mass flow.,not affect the mass flow.,increase the mass flow when the tube is divergent in the direction of the flow.,A,"According to the continuity equation, mass flow rate is the product of air density, cross-sectional area, and velocity. At a constant velocity, an increase in air temperature reduces the air density (gas law), which decreases the total mass flow rate."
Principles of Flight,5265,Which one of the following statements about Bernoulli's theorem is correct?,The dynamic pressure increases as static pressure decreases.,The dynamic pressure decreases as static pressure decreases.,The total pressure is zero when the velocity of the stream is zero.,The dynamic pressure is maximum in the stagnation point.,A,"Bernoulli's theorem for incompressible subsonic flow states that the total pressure is constant along a streamline. Therefore, as velocity increases, dynamic pressure increases and static pressure must decrease: pt = ps + q."
Principles of Flight,5266,"In a two-dimensional flow pattern, where the streamlines converge the static pressure will :",decrease.,increase.,not change.,"increase initially, then decrease.",A,"When streamlines converge in a subsonic flow pattern, the cross-sectional area of the stream tube decreases, causing the flow velocity to increase. According to Bernoulli's theorem, this increase in velocity is accompanied by a decrease in static pressure."
Principles of Flight,5267,"Bernoulli's equation can be written as:(pt= total pressure, ps = static pressure and q=dynamic pressure)",pt = ps + q,pt = ps - q,pt = q - ps,pt = ps / q,A,Bernoulli's equation states that the total pressure (pt) in a fluid flow is the sum of the static pressure (ps) and the dynamic pressure (q): pt = ps + q.
Principles of Flight,5268,The unit of density is:,kg/m³,psi,kg/cm²,Bar,A,"Density is defined as mass per unit volume. In the metric SI system, the standard unit of measurement for air density is kilograms per cubic meter (kg/m3)."
Principles of Flight,5269,The unit of measurement of pressure is:,psi,kg/m³,lb/gal,kg/dm²,A,"Pressure is defined as force per unit area. Common units of pressure include pounds per square inch (psi), Pascals (N/m2), or bars. Among the options, psi is the standard unit of pressure."
Principles of Flight,5270,The total pressure is:,static pressure plus the dynamic pressure.,static pressure minus the dynamic pressure.,½ rho V²,"can be measured in a small hole in a surface, parallel to the local stream.",A,"In subsonic aerodynamics, total pressure (or stagnation pressure) is the sum of static pressure (ambient pressure) and dynamic pressure (kinetic pressure): Total Pressure = Static Pressure + Dynamic Pressure."
Principles of Flight,5271,The (subsonic) static pressure:,decreases in a flow in a tube when the diameter decreases.,is the total pressure plus the dynamic pressure.,is the pressure in a point at which the velocity has become zero.,increases in a flow in a tube when the diameter decreases.,A,"In a subsonic flow through a tube, a decrease in the tube diameter causes the flow velocity to increase (continuity equation). According to Bernoulli's principle, this increase in velocity results in a decrease in static pressure."
Principles of Flight,5272,The true airspeed (TAS) is:,lower than the indicated airspeed (IAS) at ISA conditions and altitudes below sea level.,higher than the speed of the undisturbed airstream about the aeroplane.,"equal to the IAS, multiplied by the air density at sea level.",lower than the speed of the undisturbed airstream about the aeroplane.,A,"True airspeed (TAS) is the actual speed of the aircraft relative to the air mass through which it is flying. Under standard ISA conditions, TAS is lower than the indicated airspeed (IAS) only at altitudes below sea level where the air is denser than standard sea-level air."
Principles of Flight,5273,The difference between IAS and TAS will:,decrease at decreasing altitude.,increase at decreasing temperature.,increase at increasing air density.,decrease at increasing speed.,A,"Indicated airspeed (IAS) is calibrated to equal true airspeed (TAS) at standard sea-level air density. As altitude decreases, air density increases, bringing the actual air density closer to sea-level density and decreasing the difference between IAS and TAS."
Principles of Flight,5274,What is the unit of measurement for power ?,Nm/s,kgm/s²,Pa/m²,N/m,A,"Power is defined as work done per unit time or force multiplied by velocity. In the SI system, the unit of measurement for power is Newton-meters per second (Nm/s), which is equivalent to Watts."
Principles of Flight,5275,The following unit of measurement: kgm/s² is expressed in the SI-system as :,Newton,Pascal,Joule,Watt,A,"A Newton is the SI unit of force, defined as the force required to accelerate a mass of one kilogram at a rate of one meter per second squared: 1 N = 1 kg*m/s2."
Principles of Flight,5276,"The continuity equation states: If the area of a tube is increasing, the speed of the subsonic and incompressible flow inside is",decreasing.,not changing.,increasing.,sonic.,A,"For an incompressible, subsonic flow, the continuity equation (A * V = constant) dictates that the flow velocity varies inversely with the cross-sectional area. Therefore, if the area of the tube increases, the velocity of the flow must decrease."
Principles of Flight,5277,"If the continuity equation is applicable, what will happen to the air density (rho) if the cross sectional area of a tube changes ? (low speed, subsonic and incompressible flow)",rho1 = rho2,rho1 < rho2,rho1 > rho2,The density depends on the change of the tube area.,A,"At low subsonic speeds (Mach < 0.3), the airflow is considered incompressible, meaning the density of the air remains constant (rho1 = rho2) even as the cross-sectional area of the tube changes."
Principles of Flight,5278,"Bernoulli's equation can be written as :(pt = total pressure, ps = static pressure, q = dynamic pressure)",pt - q = ps,pt = ps - q,pt + ps = q,pt = q - ps,A,Bernoulli's equation states that total pressure (pt) equals static pressure (ps) plus dynamic pressure (q). Rearranging this equation to solve for static pressure yields: ps = pt - q.
Principles of Flight,5279,"Which of the following statements, about a venturi in a sub-sonic airflow are correct?1. the dynamic pressure in the undisturbed flow and in the throat are equal.2. the total pressure in the undisturbed flow and in the throat are equal.",1 is incorrect and 2 is correct.,1 and 2 are correct.,1 is correct and 2 is incorrect.,1 and 2 are incorrect.,A,"In a venturi tube, the throat has a smaller cross-sectional area than the inlet, causing the subsonic flow velocity to increase. Thus, the dynamic pressure in the throat is higher than in the undisturbed flow (statement 1 is incorrect). However, assuming no friction losses, the total pressure remains constant along the tube (statement 2 is correct)."
Principles of Flight,5280,The angle between the airflow (relative wind) and the chord line of an aerofoil is:,angle of attack.,glide path angle.,climb path angle.,same as the angle between chord line and fuselage axis.,A,The angle of attack is the aerodynamic angle between the wing's chord line and the direction of the relative wind (undisturbed relative airflow).
Principles of Flight,5281,"Considering a positive cambered aerofoil, the pitch moment when Cl=0 is:",negative (pitch-down).,equal to zero.,infinite,positive (pitch-up).,A,"A positively cambered wing generates lift even at a zero angle of attack. To balance this aerodynamic asymmetric lift distribution, a positive cambered aerofoil produces a negative (pitch-down) pitching moment when Cl = 0."
Principles of Flight,5282,"On a symmetrical aerofoil, the pitch moment for which Cl=0 is:",zero,equal to the moment coefficient for stabilized angle of attack.,positive (pitch-up),negative (pitch-down),A,"A symmetrical aerofoil has an identical profile on both its upper and lower surfaces. Because the pressure distribution is perfectly symmetric when the angle of attack is zero, the lift coefficient (Cl) is zero and the pitching moment is also zero."
Principles of Flight,5283,Drag is in the direction of - and lift is perpendicular to the:,relative wind/airflow.,chord line.,horizon.,longitudinal axis.,A,"By definition, aerodynamic lift is the component of the total aerodynamic force that acts perpendicular to the direction of the relative wind (airflow), while drag is the component that acts parallel and opposite to the relative wind."
Principles of Flight,5284,The correct drag formula is:,D= CD 1/2 RHO V² S,D= CD 2 RHO V² S,D= CD 1/2 RHO V S,D= CD 1/2 1/RHO V² S,A,"The aerodynamic drag force (D) is calculated using the formula: Drag = CD * 0.5 * rho * V^2 * S, where CD is the drag coefficient, rho is the air density, V is the true airspeed, and S is the wing area."
Principles of Flight,5285,Lift and drag on an aerofoil are vertical respectively parallel to the,relative wind/airflow.,chord line.,longitudinal axis.,horizon.,A,"In aerodynamics, lift is defined as the force component acting perpendicular to the relative wind (airflow), and drag is defined as the force component acting parallel and opposite to the relative wind."
Principles of Flight,5286,The angle of attack (aerodynamic angle of incidence) of an aerofoil is the angle between the:,chord line and the relative undisturbed airflow.,bottom surface and the horizontal,bottom surface and the relative airflow.,bottom surface and the chord line.,A,The angle of attack (aerodynamic angle of incidence) is the angle between the wing's chord line and the vector representing the undisturbed relative airflow.
Principles of Flight,5287,The angle of attack of a two dimensional wing section is the angle between :,the chord line of the aerofoil and the free stream direction.,the chord line of the aerofoil and the fuselage centreline.,the fuselage core line and the free stream direction.,the chord line and the camber line of the aerofoil.,A,"In two-dimensional aerodynamics, the angle of attack is defined as the angle between the chord line of the aerofoil profile and the direction of the undisturbed free stream airflow."
Principles of Flight,5288,The angle between the aeroplane longitudinal axis and the chord line is the:,angle of incidence.,glide path angle.,angle of attack.,climb path angle.,A,"The angle of incidence is the fixed angle between the wing chord line and the longitudinal axis of the aeroplane fuselage, which is established during design and construction."
Principles of Flight,5289,The term angle of attack in a two dimensional flow is defined as:,the angle between the wing chord line and the direction of the relative wind/airflow.,the angle between the aeroplane climb path and the horizon.,the angle formed by the longitudinal axis of the aeroplane and the chord line of the wing,the angle for maximum lift/drag ratio,A,The angle of attack is the angle between the chord line of the wing and the direction of the relative airflow (relative wind).
Principles of Flight,5290,Which statement is correct about the Cl and angle of attack?,"for a symmetric aerofoil, if angle of attack = 0, Cl =0","for a symmetric aerofoil, if angle of attack = 0, Cl is not equal to 0","for an asymmetric aerofoil, if angle of attack = 0, Cl =0","for an asymmetric aerofoil with positive camber, if angle of attack is greater than 0, Cl = 0",A,"For a symmetrical aerofoil, the upper and lower surfaces are identical, meaning no lift is generated at a zero angle of attack (Cl = 0). For an asymmetrical cambered aerofoil, lift is generated at zero angle of attack (Cl > 0)."
Principles of Flight,5291,The relative thickness of an aerofoil is expressed in:,% chord.,camber.,meters.,degrees cross section tail angle.,A,The relative thickness (thickness-to-chord ratio) of an aerofoil is the maximum thickness of the wing profile expressed as a percentage of the chord length.
