chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Meteorology,3272,How does the height of the tropopause normally vary with latitude in the northern hemisphere ?,It decreases from south to north.,It remains constant from north to south.,It increases from south to north.,It remains constant throughout the year.,A,The height of the tropopause decreases from south to north (equator to pole) in the Northern Hemisphere due to the decreasing temperature of the troposphere.
Meteorology,3273,"What, approximately, is the average height of the tropopause over the equator ?",16 km,8 km,11 km,40 km,A,"The average height of the tropopause over the equator is approximately 16 km, where strong solar heating and convection push it to its highest level."
Meteorology,3274,In which layer is most of the atmospheric humidity concentrated ?,Troposphere.,Tropopause.,Stratosphere.,Stratopause.,A,"Most of the atmospheric water vapor and humidity is concentrated in the troposphere, the lowest layer of the atmosphere where active weather occurs."
Meteorology,3275,What is the boundary layer between troposphere and stratosphere called?,Tropopause.,Ionosphere.,Stratosphere.,Atmosphere.,A,The tropopause is the transition boundary layer that separates the troposphere below from the stratosphere above.
Meteorology,3276,Which of the following cloud types can project up into the stratosphere?,Cumulonimbus,Cirrostratus,Altocumulus,Altostratus,A,Only Cumulonimbus (Cb) clouds possess the violent vertical development necessary to penetrate the tropopause and project up into the stratosphere.
Meteorology,3277,Which one of the following statements applies to the tropopause?,It separates the troposphere from the stratosphere,"It is, by definition, an isothermal layer",It indicates a strong temperature lapse rate,"It is, by definition, a temperature inversion",A,"The tropopause is the boundary layer that separates the troposphere from the stratosphere, marked by a change in temperature lapse rate."
Meteorology,3278,Which layer of the atmosphere contains more than 90 per cent of all water vapour?,Troposphere,Lower stratosphere,Upper stratosphere,Ionosphere,A,"The troposphere contains more than 90% of all water vapor in the atmosphere, as it is directly fed by evaporation from the surface."
Meteorology,3279,The thickness of the troposphere varies with,latitude,longitude,rotation of the earth,the wind,A,"The thickness of the troposphere varies primarily with latitude, being thickest at the equator due to warm air expansion and thinnest at the poles."
Meteorology,3280,What is the approximate composition of the dry air by volume in the troposphere ?,"21 % oxygen, 78 % nitrogen, and the rest other gasses","10 % oxygen, 89 % nitrogen, and the rest other gasses","88 % oxygen, 9 % nitrogen, and the rest other gasses","50 % oxygen, 40 % nitrogen, and the rest other gasses",A,"Dry air in the troposphere is composed of approximately 78% nitrogen, 21% oxygen, and 1% of other gases (primarily argon and carbon dioxide)."
Meteorology,3281,"Going from the equator to the north pole, the altitude of the tropopause",decreases and its temperature increases,increases and its temperature increases,increases and its temperature decreases,decreases and its temperature decreases,A,"Traveling from the equator to the north pole, the tropopause altitude decreases (from 16 km to 8 km) and its temperature increases (from -75°C to -40°C)."
Meteorology,3282,The troposphere,has a greater vertical extent above the equator than above the poles,contains all oxygen of the stratosphere,is the separation layer between the stratosphere and atmosphere,reaches the same height at all latitudes,A,The troposphere is characterized by vertical air currents and has a much greater vertical extent above the equator than above the poles.
Meteorology,3283,The troposphere is the,part of the atmosphere below the tropopause,part of the atmosphere above the stratosphere,boundary between the mesosphere and thermosphere,boundary between the stratosphere and the mesosphere,A,"The troposphere is defined as the lowest part of the atmosphere, extending from the Earth's surface up to the tropopause boundary."
Meteorology,3284,The tropopause is a level at which,temperature ceases to fall with increasing height,water vapour content is greatest,pressure remains constant,vertical currents are strongest,A,"The tropopause is defined as the level where the environmental temperature ceases to fall with increasing height, marking the start of an isothermal layer."
Meteorology,3285,The tropopause is lower,over the North Pole than over the equator,in summer than winter in moderate latitudes,south of the equator than north of it,over the equator than over the South Pole,A,The tropopause is lower over the North Pole (where cold air compresses the troposphere) than over the equator (where warm air expands it).
Meteorology,3286,The average height of the tropopause at 50°N is about,11 km,8 km,14 km,16 km,A,"In the mid-latitudes (around 50°N), the average height of the tropopause is approximately 11 km (about 36,000 feet)."
Meteorology,3287,The height and the temperature of the tropopause are respectively in the order of,16 km and -75°C over the equator,8 km and -40°C over the equator,8 km and - 75°C over the poles,16 km and -40°C over the poles,A,"Over the equator, the tropopause is characterized by a high altitude of about 16 km and an extremely low temperature of about -75°C."
Meteorology,3288,In the mid-latitudes the stratosphere extends on an average from,11 to 50 km,0 to 11 km,50 to 85 km,85 to more than 200 km,A,"In the mid-latitudes, the stratosphere extends on average from the tropopause (around 11 km) up to the stratopause (around 50 km)."
Meteorology,3289,The temperature at FL 140 is -12°C. What will the temperature be at FL 110 if the ICAO standard lapse rate is applied ?,-6°C.,-18°C.,-9°C.,-15°C.,A,"Applying the ICAO standard lapse rate of 2°C per 1000 ft, a 3000 ft descent from FL 140 (-12°C) to FL 110 will increase temperature by 6°C to -6°C."
Meteorology,3290,"At a certain position, the temperature on the 300 hPa chart is -48°C, according to the tropopause chart, the tropopause is at FL 330. What is the most likely temperature at FL 350 ?",-54°C.,-50°C.,"-56,5°C.",-58°C.,A,"At FL 350 (above the tropopause at FL 330), the temperature remains nearly constant or slightly increases, making -50°C the most likely value."
Meteorology,3291,An outside air temperature of -35°C is measured while cruising at FL 200. What is the temperature deviation from the ISA at this level?,10°C colder than ISA.,10°C warmer than ISA.,5°C warmer than ISA.,5°C colder than ISA.,A,"At FL 200, the standard temperature is -25°C. A measured temperature of -35°C represents a deviation of 10°C colder than ISA."
Meteorology,3292,What is the most likely temperature at the tropical tropopause?,-75°C.,-55°C.,-35°C.,-25°C.,A,"The tropopause is coldest over the equator, reaching a typical temperature of approximately -75°C due to strong vertical expansion."
Meteorology,3293,The 0° isotherm is forecast to be at FL 50. At what FL would you expect a temperature of -6° C?,FL 80,FL 20,FL 100,FL 110,A,"With a standard lapse rate of 2°C/1000 ft, a temperature of -6°C (6°C colder than standard 0°C at FL 50) is found 3000 ft higher at FL 80."
Meteorology,3294,The temperature at FL 80 is +6°C. What will the temperature be at FL 130 if the ICAO standard lapse rate is applied ?,-4°C,-6°C,0°C,+2°C,A,From FL 80 to FL 130 is an increase of 5000 ft. Applying the lapse rate of 2°C/1000 ft (10°C drop) to +6°C yields -4°C.
